	case_id	known_o	article	pred_o	violated_x	vote	importance	unanimous	key_case	known_i	pred_i	violated_y	meta	interAnno_f1_0	interAnno_k_0	interAnno_f1_1	interAnno_k_1	allegations	violations	Unnamed: 3	Unnamed: 4	numPar
0	001-193590	0	3	1	1	0	2	1	0	0	1	1	1	0.39007092200000004	0.1821985546	0.40234375	0.2951474201	3	3			49
1	001-193614	0	5	1	1	0	2	1	0	0	1	1	1	0.3123425693	0.2152743997	0.33195020750000004	0.2750351099	5,6,8	5,8			26
2	001-193614	0	6	0	0	0	2	1	0	0	1	0	0	0.0	-0.010897564200000001	0.0	-0.0054477207	5,6,8	5,8			26
3	001-193614	0	8	1	1	0	2	1	0	0	1	1	1	0.41975308640000003	0.2821307048	0.4314868805	0.35473196560000003	5,6,8	5,8			26
4	001-194439	0	2	1	1	0	2	1	0	0	0	1	1	0.4019399818	0.2170475296	0.4045307443	0.3131585556	2, 3, 6, 14, P1-1	2			71
5	001-194439	0	3	0	0	0	2	1	0	0	0	0	0	0.127064803	0.1012693526	0.12747252750000002	0.1133028849	2, 3, 6, 14, P1-1	2			71
6	001-194439	0	6	0	0	0	2	1	0	0	0	0	0	0.0	-0.0219755757	0.0	-0.0118722971	2, 3, 6, 14, P1-1	2			71
7	001-194439	0	14	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	2, 3, 6, 14, P1-1	2			71
8	001-194439	0	P1-1	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	2, 3, 6, 14, P1-1	2			71
9	001-194614	0	6	0	0	0	2	1	0	0	0	0	1	0.5673870334000001	0.3292967794	0.5764872521000001	0.4741479959	6	0			57
10	001-195544	0	2	1	1	0	key	1	1	0	1	1	1	0.1188328912	0.044435725200000005	0.1323106424	0.0914310212	2	2			129
11	001-196374	0	5	0	0	0	2	1	0	0	0	0	1	0.25379609540000003	0.17619342640000002	0.2867924528	0.24501259760000002	5,6	6			83
12	001-196374	0	6	1	1	0	2	1	0	0	1	1	1	0.0680437424	0.0110151642	0.0855855856	0.0529184756	5,6	6			83
13	001-200839	0	6	0	0	6:1	2	0	0	0	0	0	1	0.1161048689	0.08272876130000001	0.1493506494	0.1275648258	6,10	0			51
14	001-200839	0	10	0	0	6:1	2	0	0	0	0	0	1	0.4396067416	0.2511585766	0.4556354916	0.36068218	6,10	0			51
15	001-200866	0	6	1	1	0	2	1	0	0	1	1	1	0.039215686300000004	0.0043289236	0.049079754600000004	0.0297966996	6, P1-1	6, P1-1			20
